Date,Symbol,SecurityName,Quantity
05-FEB-2026,ABB,ABB LTD.,21
05-FEB-2026,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,9530
05-FEB-2026,ACC,ACC LIMITED,320
05-FEB-2026,ADANIENSOL,ADANI ENERGY SOLUTION LTD,21
05-FEB-2026,ADANIENT,ADANI ENTERPRISES LIMITED,1855
05-FEB-2026,ADANIGREEN,ADANI GREEN ENERGY LTD,1057
05-FEB-2026,ADANIPORTS,ADANI PORT & SEZ LTD,114
05-FEB-2026,ALKEM,ALKEM LABORATORIES LTD.,50
05-FEB-2026,AMBER,AMBER ENTERPRISES (I) LTD,3
05-FEB-2026,AMBUJACEM,AMBUJA CEMENTS LTD,100
05-FEB-2026,ANGELONE,ANGEL ONE LTD,95
05-FEB-2026,APLAPOLLO,APL APOLLO TUBES LTD,713
05-FEB-2026,ASHOKLEY,ASHOK LEYLAND LTD,166974
05-FEB-2026,ASTRAL,ASTRAL POLY TECHNIK LIMITED,425
05-FEB-2026,AUBANK,AU SMALL FINANCE BANK LIMITED,6265
05-FEB-2026,AUROPHARMA,AUROBINDO PHARMA LTD,20
05-FEB-2026,AXISBANK,AXIS BANK LIMITED,3425
05-FEB-2026,BAJAJ-AUTO,BAJAJ AUTO LIMITED,18
05-FEB-2026,BAJAJCON,BAJAJ CONSUMER CARE LTD,300
05-FEB-2026,BAJAJFINSV,BAJAJ FINSERV LIMITED,1108
05-FEB-2026,BAJFINANCE,BAJAJ FINANCE LIMITED,2619
05-FEB-2026,BANDHANBNK,BANDHAN BANK LIMITED,13675
05-FEB-2026,BANKBARODA,BANK OF BARODA,939
05-FEB-2026,BANKINDIA,BANK OF INDIA,4831
05-FEB-2026,BDL,BHARAT DYNAMICS LIMITED,22
05-FEB-2026,BEL,BHARAT ELECTRONICS LTD,8925
05-FEB-2026,BHARATFORG,BHARAT FORGE LTD,625
05-FEB-2026,BHEL,BHEL,130
05-FEB-2026,BIOCON,BIOCON LIMITED.,1845
05-FEB-2026,BLUEJET,BLUE JET HEALTHCARE LTD,25
05-FEB-2026,BLUESTARCO,BLUE STAR LIMITED,650
05-FEB-2026,BOSCHLTD,BOSCH LIMITED,5
05-FEB-2026,BPCL,BHARAT PETROLEUM CORP LT,341
05-FEB-2026,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,2
05-FEB-2026,BSE,BSE LIMITED,2029
05-FEB-2026,BSOFT,BIRLASOFT LIMITED,588
05-FEB-2026,CAMS,COMPUTER AGE MGMT SER LTD,750
05-FEB-2026,CANBK,CANARA BANK,4715
05-FEB-2026,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,489
05-FEB-2026,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,512
05-FEB-2026,CHENNPETRO,CHENNAI PETROLEUM CORP LT,59
05-FEB-2026,CIPLA,CIPLA LTD,201
05-FEB-2026,COALINDIA,COALINDIA,430
05-FEB-2026,COCHINSHIP,COCHIN SHIPYARD LIMITED,144
05-FEB-2026,COFORGE,COFORGE LIMITED,694
05-FEB-2026,COLPAL,COLGATE PALMOLIVE LTD.,680
05-FEB-2026,CROMPTON,CROMPT GREA CON ELEC LTD,608
05-FEB-2026,CUMMINSIND,CUMMINS INDIA LTD,41
